('%s %s %s %s %s %s', '[2020-Apr-02 15:24]', '127.0.0.1', 'GET', 'http', '/login?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:24]', '127.0.0.1', 'GET', 'http', '/static/login.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:24]', '127.0.0.1', 'GET', 'http', '/favicon.ico?', '404 NOT FOUND')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/static/index.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/favicon.ico?', '404 NOT FOUND')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/login?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/static/login.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/favicon.ico?', '404 NOT FOUND')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'POST', 'http', '/login?', '302 FOUND')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/static/index.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/favicon.ico?', '404 NOT FOUND')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/add_post?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/ckeditor.js?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/config.js?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/skins/moono-lisa/editor_gecko.css?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/lang/en.js?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/styles.js?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/codesnippet/plugin.js?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/scayt/dialogs/dialog.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/scayt/skins/moono-lisa/scayt.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/tableselection/styles/tableselection.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/wsc/skins/moono-lisa/wsc.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/codesnippet/lang/en.js?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/codesnippet/lib/highlight/highlight.pack.js?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/skins/moono-lisa/icons.png?t=95e5d83', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/codesnippet/icons/codesnippet.png?t=I3I8', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/plugins/codesnippet/lib/highlight/styles/monokai_sublime.css?', '200 OK')
('%s %s %s %s %s %s', '[2020-Apr-02 15:27]', '127.0.0.1', 'GET', 'http', '/ckeditor/static/standard/contents.css?t=I3I8', '200 OK')
